nm, A
510.000000, 0.007219
509.000000, 0.008373
508.000000, 0.007984
507.000000, 0.008162
506.000000, 0.009063
505.000000, 0.010786
504.000000, 0.011819
503.000000, 0.010779
502.000000, 0.013197
501.000000, 0.017612
500.000000, 0.020512
499.000000, 0.023157
498.000000, 0.027747
497.000000, 0.034648
496.000000, 0.043845
495.000000, 0.055952
494.000000, 0.067011
493.000000, 0.080394
492.000000, 0.098849
491.000000, 0.120590
490.000000, 0.148928
489.000000, 0.183891
488.000000, 0.224456
487.000000, 0.270332
486.000000, 0.320235
485.000000, 0.377302
484.000000, 0.439502
483.000000, 0.511194
482.000000, 0.587433
481.000000, 0.658522
480.000000, 0.718335
479.000000, 0.762330
478.000000, 0.786691
477.000000, 0.790802
476.000000, 0.760551
475.000000, 0.722553
474.000000, 0.672113
473.000000, 0.609764
472.000000, 0.558012
471.000000, 0.509484
470.000000, 0.458659
469.000000, 0.414493
468.000000, 0.380549
467.000000, 0.349605
466.000000, 0.320175
465.000000, 0.299376
464.000000, 0.280891
463.000000, 0.266665
462.000000, 0.259642
461.000000, 0.253465
460.000000, 0.253927
459.000000, 0.265043
458.000000, 0.275727
457.000000, 0.291286
456.000000, 0.311394
455.000000, 0.333214
454.000000, 0.364276
453.000000, 0.390147
452.000000, 0.423477
451.000000, 0.444611
450.000000, 0.465215
449.000000, 0.484975
448.000000, 0.489739
447.000000, 0.485816
446.000000, 0.471936
445.000000, 0.457964
444.000000, 0.431444
443.000000, 0.408678
442.000000, 0.378112
441.000000, 0.346885
440.000000, 0.321297
439.000000, 0.292652
438.000000, 0.267009
437.000000, 0.245040
436.000000, 0.229694
435.000000, 0.210367
434.000000, 0.199417
433.000000, 0.189039
432.000000, 0.178498
431.000000, 0.171827
430.000000, 0.168730
429.000000, 0.170289
428.000000, 0.166657
427.000000, 0.168945
426.000000, 0.174500
425.000000, 0.170182
424.000000, 0.173665
423.000000, 0.178075
422.000000, 0.175746
421.000000, 0.171352
420.000000, 0.169480
419.000000, 0.167296
418.000000, 0.159045
417.000000, 0.151722
416.000000, 0.145846
415.000000, 0.138020
414.000000, 0.124477
413.000000, 0.112374
412.000000, 0.105109
411.000000, 0.102809
410.000000, 0.092705
409.000000, 0.086082
408.000000, 0.080705
407.000000, 0.079575
406.000000, 0.071186
405.000000, 0.068778
404.000000, 0.072748
403.000000, 0.065974
402.000000, 0.065298
401.000000, 0.058167
400.000000, 0.061619
399.000000, 0.059171
398.000000, 0.054372
397.000000, 0.053954
396.000000, 0.056949
395.000000, 0.045150
394.000000, 0.051181
393.000000, 0.041519
392.000000, 0.044813
391.000000, 0.044877
390.000000, 0.042515
389.000000, 0.034703
388.000000, 0.039306
387.000000, 0.033027
386.000000, 0.029641
385.000000, 0.022776
384.000000, 0.026831
383.000000, 0.029021
382.000000, 0.021802
381.000000, 0.023044
380.000000, 0.025083
379.000000, 0.025964
378.000000, 0.018659
377.000000, 0.025244
376.000000, 0.026055
375.000000, 0.030676
374.000000, 0.011081
373.000000, 0.024621
372.000000, 0.024188
371.000000, 0.025318
370.000000, 0.029002
369.000000, 0.023360
368.000000, 0.024644
367.000000, 0.024297
366.000000, 0.018755
365.000000, 0.032072
364.000000, 0.027630
363.000000, 0.014379
362.000000, 0.029641
361.000000, 0.022879
360.000000, 0.026340
359.000000, 0.025982
358.000000, 0.025385
357.000000, 0.031480
356.000000, 0.034405
355.000000, 0.036711
354.000000, 0.029908
353.000000, 0.027881
352.000000, 0.036673
351.000000, 0.036595
350.000000, 0.030684
349.000000, 0.032429
348.000000, 0.033667
347.000000, 0.040794
346.000000, 0.031665
345.000000, 0.030715
344.000000, 0.035252
343.000000, 0.033259
342.000000, 0.034273
341.000000, 0.032249
340.000000, 0.034730
339.000000, 0.022445
338.000000, 0.020179
337.000000, 0.023069
336.000000, 0.026492
335.000000, 0.023147
334.000000, 0.018815
333.000000, 0.024621
332.000000, 0.032587
331.000000, 0.034566
330.000000, 0.036243
329.000000, 0.034542
328.000000, 0.031164
327.000000, 0.039811
326.000000, 0.044963
325.000000, 0.027803
324.000000, 0.033687
323.000000, 0.046813
322.000000, 0.040879
321.000000, 0.028604
320.000000, 0.026113
319.000000, 0.032860
318.000000, 0.045034
317.000000, 0.037736
316.000000, 0.035275
315.000000, 0.035959
314.000000, 0.041704
313.000000, 0.044008
312.000000, 0.042088
311.000000, 0.036429
310.000000, 0.037171
309.000000, 0.039801
308.000000, 0.039538
307.000000, 0.039993
306.000000, 0.043529
305.000000, 0.044497
304.000000, 0.044177
303.000000, 0.046310
302.000000, 0.045959
301.000000, 0.046440
300.000000, 0.045778
299.000000, 0.051936
298.000000, 0.054142
297.000000, 0.051632
296.000000, 0.054907
295.000000, 0.059841
294.000000, 0.065926
293.000000, 0.070574
292.000000, 0.072627
291.000000, 0.072833
290.000000, 0.071671
289.000000, 0.079346
288.000000, 0.084896
287.000000, 0.085182
286.000000, 0.084241
285.000000, 0.092072
284.000000, 0.092922
283.000000, 0.099715
282.000000, 0.075050
281.000000, 0.042622
280.000000, 0.042622
279.000000, 0.042622
278.000000, 0.042622
277.000000, 0.042622
276.000000, 0.042622
275.000000, 0.042622
274.000000, 0.042622
273.000000, 0.042622
272.000000, 0.042622
271.000000, 0.042622
270.000000, 0.042622
269.000000, 0.042622
268.000000, 0.042622
267.000000, 0.042622
266.000000, 0.042622
265.000000, 0.042622
264.000000, 0.042622
263.000000, 0.042622
262.000000, 0.042622
261.000000, 0.042622
260.000000, 0.042622
259.000000, 0.042622
258.000000, 0.042622
257.000000, 0.042622
256.000000, 0.042622
255.000000, 0.042622
254.000000, 0.042622
253.000000, 0.042622
252.000000, 0.042622
251.000000, 0.042622
250.000000, 0.042622
